code,name,layer,parent,regd
ETH,Ethiopia,0,,
AA,Addis Ababa,1,ETH,
AF,Afar,1,ETH,
AM,Amhara,1,ETH,
BG,Benshangul-Gumaz,1,ETH,
DD,Dire Dawa,1,ETH,
GP,Gambela People,1,ETH,
HP,Harari People,1,ETH,
OR,Oromia,1,ETH,
SO,Somali,1,ETH,
SN,Southern Nations,1,ETH,
TI,Tigray,1,ETH,
AA1,Unknown AA,2,AA,
AZ1,Zone 1,2,AA,
AZ2,Zone 2,2,AA,
AZ3,Zone 3,2,AA,
AZ4,Zone 4,2,AA,
AZ5,Zone 5,2,AA,
AZ6,Zone 6,2,AA,
AF1,Zone 1,2,AF,
AF2,Zone 2,2,AF,
AF3,Zone 3,2,AF,
AF4,Zone 4,2,AF,
AF5,Zone 5,2,AF,
AM1,Awi,2,AM,
AM2,Bar Dar Sp. Zone,2,AM,
AM3,East Gojam,2,AM,
AM4,North Gonder,2,AM,
AM5,North Shewa,2,AM,
AM6,North Wollo,2,AM,
AM7,Oromia Zone,2,AM,
AM8,South Gonder,2,AM,
AM9,South Wollo,2,AM,
AM10,Wag Hemira,2,Am,
AM11,West Gojam,2,AM,
BG1,Asosa,2,BG,
BG2,Kemashi,2,BG,
BG3,Metekel,2,BG,
DD1,Dire Dawa,2,DD,
GP1,Zone 1,2,GP,
GP2,Zone 2,2,GP,
HP1,Hundene,2,HP,
OR1,Arsi,2,OR,
OR2,Bale,2,OR,
OR3,Borena,2,OR,
OR4,East Harerghe,2,OR,
OR5,East Shewa,2,OR,
OR6,East Wellega,2,OR,
OR7,Illubabor,2,OR,
OR8,Jimma,2,OR,
OR9,North Shewa (K4),2,OR,
OR10,West Harerghe,2,OR,
OR11,West Shewa,2,OR,
OR12,West Wellega,2,OR,
SO1,Dege Habur,2,SO,
SO2,Jijiga,2,SO,
SO3,Liben,2,SO,
SO4,Shinile,2,SO,
SO5,Unknown,2,SO,
SO6,Welwel Warder,2,SO,
SN1,Amaro Special Woreda,2,SN,
SN2,Basketo Special Woreda,2,SN,
SN3,Benchi Maji,2,SN,
SN4,Burji Special Woreda,2,SN,
SN5,Dawuro,2,SN,
SN6,Derashe Special Woreda,2,SN,
SN7,Gamo Gofa,2,SN,
SN8,Gedeo,2,SN,
SN9,Guraghe,2,SN,
SN10,Hadiya,2,SN,
SN11,Keffa,2,SN,
SN12,Kembata Alaba Tembaro,2,SN,
SN13,Konso Special Woreda,2,SN,
SN14,Konta Special Woreda,2,SN,
SN15,Shaka,2,SN,
SN16,Sidama,2,SN,
SN17,South Omo,2,SN,
SN18,Wolayita,2,SN,
SN19,Yem Special Woreda,2,SN,
TI1,Central Tigray,2,TI,
TI2,Easetern Tigray,2,TI,
TI3,Mekele,2,TI,
TI4,Southern Tigray,2,TI,
TI5,Western Tigray,2,TI,
